0,851213258
0,093873349
0,569794022
0,255074888
0,929631365
0,151621787
0,540877506
0,714491918
0,721330383
1,505821931
0,390929438
0,977814201
1,99122372
0,007555985
1,051363151
0,206231126
0,074439821
0,640838605
0,204539196
0,106822929
0,249784391
0,439166959
0,030301755
1,59259248
0,461258771
0,111925308
0,315194919
0,034499588
0,059378719
0,170743285
0,519087177
0,428369514
0,701833982
0,627035753
0,273509302
0,04907817
0,110786009
0,000782858
0,145172633
0,098010137
0,047018622
0,163911949
0,109956183
1,305714708
0,159628425
0,066478139
0,482157415
0,608600989
0,60409239
0,847465345
0,318379462
0,127280129
1,019635555
0,119561437
1,071790233
0,27568289
0,099620977
0,882672117
0,42310468
0,022650219
0,083988094
0,569185234
1,282379183
0,287292098
0,09302726
0,10312084
0,211858417
1,041871146
0,207831904
1,068275473
0,068636591
0,195084554
0,043649234
2,203418764
0,037712272
0,017495344
0,651797863
0,076343988
0,003652306
0,472768805
0,347616842
0,766599757
0,055310461
0,770279644
1,92609302
1,287374357
1,094286716
0,143223764
0,929530884
0,191419206
0,312314324
0,137835153
0,208044015
0,389139252
0,113780066
3,329314933
0,635161564
0,08848614
0,542946018
0,007786433
1,121883754
0,404476869
0,098396084
0,328875902
1,313161722
0,366911705
0,641363044
2,06174546
0,287560602
0,412813322
0,328697369
0,117598665
0,652508463
0,542058134
0,230979439
0,097969973
0,395328205
0,194112351
0,123085618
0,776132901
2,188037328
0,163154256
0,515952628
0,906696031
0,100262812
0,055932574
0,640536323
0,660310987
0,803838961
0,278335412
0,844948774
0,969391959
0,545550138
0,238585348
0,828504126
0,634824129
0,782128955
1,694521053
1,271332108
0,865073167
0,199173199
0,528098441
0,237435816
0,213120825
0,915059666
0,728265529
0,823881464
2,102308202
1,19231603
0,149083883
0,507236211
1,251110785
0,382104562
0,638751216
0,806565306
0,617214785
0,183562703
1,074826955
0,191273645
0,246641138
0,050878941
0,306894398
0,298610486
0,593954986
1,032753303
0,462976575
0,040644263
0,169197764
0,325809309
0,478681257
0,449912254
0,95569009
0,828959119
1,272564914
0,43725216
0,008897623
0,199111469
0,487789342
0,116319272
0,681010139
0,750547748
0,064799726
0,77974032
0,019764576
0,049466773
1,270782316
0,230259521
0,916573307
1,409843363
0,536206507
1,713261373
0,687462074
0,316886067
0,642339481
0,073087575
0,71761763
0,637896334
0,288722026
0,085092824
0,22459985
